pump,flow_rate,in_steps_rate,out_steps_rate,estimated_drift_rate,drift_rate
A,4,43062.74067665519,42404.0,-3.086e-06,-0.000251816
B,4,43717.81855109778,42208.0,5.6173e-05,-0.000294959
C,4,46493.61203380202,43141.0,5.2469e-05,-0.000159845
D,4,46176.55326001961,42172.0,8.9506e-05,-7.8043e-05
A,8,85577.72811953993,85321.0,4.5062e-05,
B,8,86560.0935974085,85998.0,-2.469e-06,
C,8,90098.06883926484,84276.0,0.000162963,
D,8,89824.33781644663,83163.0,0.000132099,
A,12,128092.71556242464,127987.0,2.7778e-05,
B,12,129402.36864371922,128664.0,2.469e-06,
C,12,133702.52564472766,125411.0,0.000224691,
D,12,133472.12237287365,124154.0,0.000143827,
A,16,170607.70300530936,170654.0,6.1111e-05,
B,16,172244.64369002997,170892.0,6.5432e-05,
C,16,177306.98245019047,171238.0,6.17e-07,
D,16,177119.90692930063,165145.0,0.000206173,
A,20,213122.6904481941,216320.0,-2.3457e-05,
B,20,215086.91873634065,216370.0,-1.235e-06,
C,20,220911.4392556533,213548.0,-6.17e-07,
D,20,220767.69148572764,209980.0,-1.235e-06,
